application_uid,authority_name,reference,planning_decision,n_docs_used,total_chars,used_refusal_section,mentions_heat_pump,n_labels,labels
DC/23/2871/FUL,East Suffolk,,Application Refused,2,20865,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general
DC/24/00872,Babergh Mid Suffolk,,Part Granted/Part Refused,4,628301,False,True,14,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; greenbelt; highways; biodiversity; flat_apartment
DC/24/03451,Babergh Mid Suffolk,,Refused,7,244674,False,True,13,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; greenbelt; highways; biodiversity; flat_apartment
DC/24/0612/HH,West Suffolk,,Refuse application,2,22630,True,True,3,noise; neighbour_amenity; policy_general
DC/24/135940,Lewisham,,Refused,2,23563,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage
DC/24/135963,Lewisham,,Refused,2,21813,False,True,8,heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; biodiversity; flat_apartment
DC/24/136590,Lewisham,,Refused,2,12611,False,True,6,design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; flat_apartment
DC/24/136887,Lewisham,,Refused,2,10761,False,True,8,noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; biodiversity; flat_apartment
DC/24/137108,Lewisham,,Refused,2,26661,False,True,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
DC/24/137193,Lewisham,,Refused,2,15954,False,True,8,noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; flat_apartment
DC/24/138144,Lewisham,,Refused,2,8706,False,True,7,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general
DC/24/138163,Lewisham,,Refused,2,25701,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; flat_apartment
DC/24/3260/FUL,East Suffolk,,Application Refused,2,20748,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity
DC/24/69709,Sandwell,,Refuse permission,2,9154,True,False,4,visual_amenity; design_scale_siting; policy_general; flat_apartment
DC/24/69969,Sandwell,,Refuse permission,2,16668,True,True,4,noise; design_scale_siting; neighbour_amenity; policy_general
DC/25/00154,Babergh Mid Suffolk,,Refused,4,27766,False,True,12,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; greenbelt; highways; biodiversity
DC/25/00849,Babergh Mid Suffolk,,Refused,3,26029,False,True,12,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; greenbelt; highways; biodiversity
DC/25/01980,Babergh Mid Suffolk,,Part Granted/Part Refused,4,66901,False,True,12,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; highways; biodiversity; flat_apartment
DC/25/02545,Babergh Mid Suffolk,,Refused,7,137873,True,True,2,noise; neighbour_amenity
